A0A0P0X5U4	Jaiswal:PITA_000087673-RA
Q8GSD9	Jaiswal:PITA_000067857-RA Jaiswal:PITA_000096157-RA Jaiswal:PITA_000045954-RA Jaiswal:PITA_000074631-RA Jaiswal:PITA_000057365-RA Jaiswal:PITA_000070940-RA Jaiswal:PITA_000027780-RA Jaiswal:PITA_000093210-RA Jaiswal:PITA_000020370-RA Jaiswal:PITA_000060429-RA
Q8GTK1	Jaiswal:PITA_000094683-RA Jaiswal:PITA_000055100-RA Jaiswal:PITA_000016422-RA Jaiswal:PITA_000081414-RA Jaiswal:PITA_000056400-RA Jaiswal:PITA_000094179-RA Jaiswal:PITA_000026524-RA
Q8GVJ4	Jaiswal:PITA_000027912-RA
Q8GVZ0	Jaiswal:PITA_000029525-RA Jaiswal:PITA_000071142-RA Jaiswal:PITA_000029529-RA
Q8GZY1	Jaiswal:PITA_000095437-RA Jaiswal:PITA_000010264-RA Jaiswal:PITA_000094495-RA Jaiswal:PITA_000048213-RA Jaiswal:PITA_000068819-RA Jaiswal:PITA_000040187-RA Jaiswal:PITA_000079715-RA Jaiswal:PITA_000081970-RA Jaiswal:PITA_000018189-RA Jaiswal:PITA_000019693-RA Jaiswal:PITA_000010409-RA Jaiswal:PITA_000030719-RA Jaiswal:PITA_000010136-RA Jaiswal:PITA_000051298-RA Jaiswal:PITA_000075585-RA Jaiswal:PITA_000023271-RA Jaiswal:PITA_000033627-RA Jaiswal:PITA_000008681-RA Jaiswal:PITA_000010259-RA Jaiswal:PITA_000050150-RA Jaiswal:PITA_000025817-RA Jaiswal:PITA_000060842-RA Jaiswal:PITA_000020966-RA Jaiswal:PITA_000081785-RA Jaiswal:PITA_000005612-RA Jaiswal:PITA_000000975-RA Jaiswal:PITA_000035695-RA Jaiswal:PITA_000061894-RA Jaiswal:PITA_000042245-RA Jaiswal:PITA_000020968-RA Jaiswal:PITA_000054037-RA Jaiswal:PITA_000018194-RA Jaiswal:PITA_000046083-RA Jaiswal:PITA_000066400-RA Jaiswal:PITA_000063794-RA Jaiswal:PITA_000020967-RA Jaiswal:PITA_000019684-RA Jaiswal:PITA_000090431-RA Jaiswal:PITA_000050151-RA Jaiswal:PITA_000013308-RA Jaiswal:PITA_000064037-RA Jaiswal:PITA_000023272-RA Jaiswal:PITA_000081015-RA Jaiswal:PITA_000051406-RA Jaiswal:PITA_000011482-RA Jaiswal:PITA_000025722-RA Jaiswal:PITA_000071810-RA Jaiswal:PITA_000072652-RA Jaiswal:PITA_000072646-RA Jaiswal:PITA_000091958-RA Jaiswal:PITA_000091203-RA Jaiswal:PITA_000027819-RA Jaiswal:PITA_000032176-RA
Q8H016	Jaiswal:PITA_000018309-RA Jaiswal:PITA_000001583-RA Jaiswal:PITA_000000377-RA Jaiswal:PITA_000044295-RA Jaiswal:PITA_000077012-RA Jaiswal:PITA_000025659-RA Jaiswal:PITA_000073604-RA Jaiswal:PITA_000013829-RA Jaiswal:PITA_000055991-RA Jaiswal:PITA_000081421-RA
Q8H038	Jaiswal:PITA_000063743-RA Jaiswal:PITA_000034939-RA Jaiswal:PITA_000063744-RA Jaiswal:PITA_000093772-RA Jaiswal:PITA_000030139-RA Jaiswal:PITA_000000921-RA
Q8H051	Jaiswal:PITA_000015565-RA
Q8H0A1	Jaiswal:PITA_000025916-RA Jaiswal:PITA_000037580-RA Jaiswal:PITA_000003783-RA
Q8H0B2	Jaiswal:PITA_000011227-RA
Q8H0B6	Jaiswal:PITA_000011227-RA
Q8H273	Jaiswal:PITA_000001124-RA Jaiswal:PITA_000025008-RA Jaiswal:PITA_000066918-RA Jaiswal:PITA_000008056-RA
Q8H2J9	Jaiswal:PITA_000017595-RA
Q8H395	Jaiswal:PITA_000015143-RA Jaiswal:PITA_000076257-RA Jaiswal:PITA_000011978-RA Jaiswal:PITA_000046468-RA Jaiswal:PITA_000013697-RA Jaiswal:PITA_000022964-RA Jaiswal:PITA_000036965-RA Jaiswal:PITA_000022502-RA Jaiswal:PITA_000038595-RA Jaiswal:PITA_000067565-RA Jaiswal:PITA_000013699-RA Jaiswal:PITA_000046407-RA Jaiswal:PITA_000006541-RA Jaiswal:PITA_000028922-RA Jaiswal:PITA_000013695-RA Jaiswal:PITA_000013698-RA Jaiswal:PITA_000087097-RA Jaiswal:PITA_000040612-RA Jaiswal:PITA_000038493-RA Jaiswal:PITA_000026622-RA Jaiswal:PITA_000032761-RA Jaiswal:PITA_000013780-RA Jaiswal:PITA_000075864-RA Jaiswal:PITA_000074837-RA
Q8H3A4	Jaiswal:PITA_000051959-RA Jaiswal:PITA_000079763-RA Jaiswal:PITA_000046542-RA Jaiswal:PITA_000023087-RA Jaiswal:PITA_000012874-RA Jaiswal:PITA_000040361-RA Jaiswal:PITA_000012869-RA Jaiswal:PITA_000070448-RA Jaiswal:PITA_000000311-RA Jaiswal:PITA_000040362-RA Jaiswal:PITA_000012870-RA
Q8H3C8	Jaiswal:PITA_000011343-RA Jaiswal:PITA_000003502-RA
Q8H3C9	Jaiswal:PITA_000011343-RA Jaiswal:PITA_000003502-RA
Q8H3L0	Jaiswal:PITA_000022145-RA Jaiswal:PITA_000071437-RA Jaiswal:PITA_000090045-RA Jaiswal:PITA_000033873-RA Jaiswal:PITA_000081366-RA Jaiswal:PITA_000041624-RA Jaiswal:PITA_000046984-RA Jaiswal:PITA_000019034-RA Jaiswal:PITA_000057497-RA
Q8H3Q7	Jaiswal:PITA_000039403-RA Jaiswal:PITA_000030370-RA
Q8H4L3	Jaiswal:PITA_000015419-RA Jaiswal:PITA_000094990-RA Jaiswal:PITA_000023498-RA Jaiswal:PITA_000035118-RA Jaiswal:PITA_000035012-RA Jaiswal:PITA_000006631-RA Jaiswal:PITA_000039968-RA Jaiswal:PITA_000018217-RA Jaiswal:PITA_000017127-RA Jaiswal:PITA_000018504-RA Jaiswal:PITA_000017128-RA Jaiswal:PITA_000007991-RA Jaiswal:PITA_000058354-RA Jaiswal:PITA_000019615-RA
Q8H530	Jaiswal:PITA_000052158-RA
Q8H539	Jaiswal:PITA_000088282-RA Jaiswal:PITA_000080003-RA Jaiswal:PITA_000027943-RA Jaiswal:PITA_000082695-RA Jaiswal:PITA_000049844-RA Jaiswal:PITA_000027939-RA Jaiswal:PITA_000083834-RA Jaiswal:PITA_000096025-RA Jaiswal:PITA_000039706-RA Jaiswal:PITA_000027941-RA
Q8H6G8	Jaiswal:PITA_000067857-RA Jaiswal:PITA_000096157-RA Jaiswal:PITA_000045954-RA Jaiswal:PITA_000074631-RA Jaiswal:PITA_000057365-RA Jaiswal:PITA_000070940-RA Jaiswal:PITA_000027780-RA Jaiswal:PITA_000093210-RA Jaiswal:PITA_000020370-RA Jaiswal:PITA_000060429-RA
Q8H7S6	Jaiswal:PITA_000062340-RA Jaiswal:PITA_000028501-RA
Q8H825	Jaiswal:PITA_000029306-RA
Q8H930	Jaiswal:PITA_000011227-RA
Q8LJJ2	Jaiswal:PITA_000070094-RA
Q8LM92	Jaiswal:PITA_000002873-RA Jaiswal:PITA_000002875-RA Jaiswal:PITA_000004708-RA Jaiswal:PITA_000002876-RA Jaiswal:PITA_000024089-RA Jaiswal:PITA_000053270-RA Jaiswal:PITA_000039712-RA Jaiswal:PITA_000028722-RA Jaiswal:PITA_000023499-RA Jaiswal:PITA_000024091-RA Jaiswal:PITA_000002885-RA
Q8LMW8	Jaiswal:PITA_000034086-RA
Q8LNU2	Jaiswal:PITA_000001575-RA
Q8LQ34	Jaiswal:PITA_000067479-RA Jaiswal:PITA_000032417-RA
Q8LRJ3	Jaiswal:PITA_000087673-RA
Q8RV06	Jaiswal:PITA_000025019-RA
Q8RV34	Jaiswal:PITA_000013936-RA
Q8RYL0	Jaiswal:PITA_000000379-RA
Q8RZV7	Jaiswal:PITA_000077431-RA Jaiswal:PITA_000010173-RA
Q8S0G4	Jaiswal:PITA_000040983-RA
Q8S2G0	Jaiswal:PITA_000037508-RA
Q8S2G5	Jaiswal:PITA_000040983-RA
Q8S3R0	Jaiswal:PITA_000088963-RA
Q8S5M6	Jaiswal:PITA_000067098-RA Jaiswal:PITA_000071477-RA
Q8S5N2	Jaiswal:PITA_000094377-RA
Q8S601	Jaiswal:PITA_000065925-RA
Q8S919	Jaiswal:PITA_000005498-RA Jaiswal:PITA_000015546-RA Jaiswal:PITA_000059228-RA Jaiswal:PITA_000005499-RA
Q8S920	Jaiswal:PITA_000005498-RA Jaiswal:PITA_000015546-RA Jaiswal:PITA_000059228-RA Jaiswal:PITA_000005499-RA
Q8S985	Jaiswal:PITA_000012344-RA Jaiswal:PITA_000008478-RA
Q8S9S4	Jaiswal:PITA_000008392-RA
Q8S9Z2	Jaiswal:PITA_000010229-RA
Q8VWH2	Jaiswal:PITA_000033815-RA Jaiswal:PITA_000034759-RA Jaiswal:PITA_000060380-RA
Q8W0B6	Jaiswal:PITA_000004869-RA Jaiswal:PITA_000022455-RA Jaiswal:PITA_000075472-RA Jaiswal:PITA_000022456-RA Jaiswal:PITA_000040375-RA Jaiswal:PITA_000070258-RA Jaiswal:PITA_000004879-RA Jaiswal:PITA_000058385-RA Jaiswal:PITA_000031833-RA Jaiswal:PITA_000004872-RA Jaiswal:PITA_000040374-RA Jaiswal:PITA_000008622-RA
Q8W250	Jaiswal:PITA_000009808-RA
Q8W3J0	Jaiswal:PITA_000000522-RA
Q8W3L9	Jaiswal:PITA_000066812-RA Jaiswal:PITA_000020361-RA Jaiswal:PITA_000052820-RA Jaiswal:PITA_000020358-RA
Q8W3M0	Jaiswal:PITA_000066812-RA Jaiswal:PITA_000020361-RA Jaiswal:PITA_000052820-RA Jaiswal:PITA_000020358-RA
Q93VC3	Jaiswal:PITA_000026693-RA Jaiswal:PITA_000022356-RA Jaiswal:PITA_000036758-RA Jaiswal:PITA_000022355-RA Jaiswal:PITA_000073613-RA Jaiswal:PITA_000022353-RA Jaiswal:PITA_000022352-RA Jaiswal:PITA_000010668-RA Jaiswal:PITA_000001634-RA Jaiswal:PITA_000079384-RA Jaiswal:PITA_000034865-RA Jaiswal:PITA_000042784-RA Jaiswal:PITA_000084358-RA Jaiswal:PITA_000061487-RA
Q93VD5	Jaiswal:PITA_000046162-RA
Q93WI9	Jaiswal:PITA_000033815-RA Jaiswal:PITA_000034759-RA Jaiswal:PITA_000060380-RA
Q93X08	Jaiswal:PITA_000003479-RA
Q93XI4	Jaiswal:PITA_000052551-RA
Q93Y73	Jaiswal:PITA_000030871-RA
Q941W8	Jaiswal:PITA_000050598-RA Jaiswal:PITA_000039197-RA
Q945X3	Jaiswal:PITA_000017778-RA
Q948T6	Jaiswal:PITA_000023770-RA
Q94E75	Jaiswal:PITA_000021147-RA
Q94GF1	Jaiswal:PITA_000021992-RA
Q94HG3	Jaiswal:PITA_000023972-RA
Q94IW5	Jaiswal:PITA_000016718-RA Jaiswal:PITA_000016719-RA Jaiswal:PITA_000016716-RA
Q94J90	Jaiswal:PITA_000025726-RA
Q94JA2	Jaiswal:PITA_000015443-RA
Q94JJ0	Jaiswal:PITA_000026576-RA Jaiswal:PITA_000012561-RA
Q94LU9	Jaiswal:PITA_000041561-RA
Q9ASD3	Jaiswal:PITA_000067550-RA Jaiswal:PITA_000038693-RA
Q9AUQ4	Jaiswal:PITA_000013893-RA Jaiswal:PITA_000021859-RA
Q9AUV6	Jaiswal:PITA_000005896-RA
Q9AV47	Jaiswal:PITA_000031545-RA Jaiswal:PITA_000044653-RA Jaiswal:PITA_000038323-RA
Q9AV71	Jaiswal:PITA_000059700-RA
Q9AWZ7	Jaiswal:PITA_000002798-RA
Q9AWZ8	Jaiswal:PITA_000002798-RA
Q9AY73	Jaiswal:PITA_000029856-RA
Q9FDX8	Jaiswal:PITA_000030246-RA Jaiswal:PITA_000035352-RA
Q9FRX7	Jaiswal:PITA_000024689-RA
Q9FTN5	Jaiswal:PITA_000007189-RA Jaiswal:PITA_000007198-RA Jaiswal:PITA_000050506-RA Jaiswal:PITA_000043679-RA Jaiswal:PITA_000007188-RA Jaiswal:PITA_000007196-RA Jaiswal:PITA_000009317-RA Jaiswal:PITA_000069096-RA Jaiswal:PITA_000007187-RA Jaiswal:PITA_000005688-RA Jaiswal:PITA_000001059-RA Jaiswal:PITA_000067590-RA
Q9FTN6	Jaiswal:PITA_000007189-RA Jaiswal:PITA_000007198-RA Jaiswal:PITA_000050506-RA Jaiswal:PITA_000043679-RA Jaiswal:PITA_000007188-RA Jaiswal:PITA_000007196-RA Jaiswal:PITA_000009317-RA Jaiswal:PITA_000069096-RA Jaiswal:PITA_000007187-RA Jaiswal:PITA_000005688-RA Jaiswal:PITA_000001059-RA Jaiswal:PITA_000067590-RA
Q9FTR6	Jaiswal:PITA_000077211-RA
Q9FU67	Jaiswal:PITA_000042569-RA Jaiswal:PITA_000005255-RA Jaiswal:PITA_000026170-RA Jaiswal:PITA_000027067-RA Jaiswal:PITA_000078775-RA Jaiswal:PITA_000063382-RA Jaiswal:PITA_000011270-RA Jaiswal:PITA_000018680-RA Jaiswal:PITA_000008165-RA Jaiswal:PITA_000022171-RA Jaiswal:PITA_000086859-RA Jaiswal:PITA_000044319-RA Jaiswal:PITA_000068560-RA Jaiswal:PITA_000035131-RA
Q9FU68	Jaiswal:PITA_000042569-RA Jaiswal:PITA_000005255-RA Jaiswal:PITA_000026170-RA Jaiswal:PITA_000027067-RA Jaiswal:PITA_000078775-RA Jaiswal:PITA_000063382-RA Jaiswal:PITA_000011270-RA Jaiswal:PITA_000018680-RA Jaiswal:PITA_000008165-RA Jaiswal:PITA_000022171-RA Jaiswal:PITA_000086859-RA Jaiswal:PITA_000044319-RA Jaiswal:PITA_000068560-RA Jaiswal:PITA_000035131-RA
Q9FU69	Jaiswal:PITA_000042569-RA Jaiswal:PITA_000005255-RA Jaiswal:PITA_000026170-RA Jaiswal:PITA_000027067-RA Jaiswal:PITA_000078775-RA Jaiswal:PITA_000063382-RA Jaiswal:PITA_000011270-RA Jaiswal:PITA_000018680-RA Jaiswal:PITA_000008165-RA Jaiswal:PITA_000022171-RA Jaiswal:PITA_000086859-RA Jaiswal:PITA_000044319-RA Jaiswal:PITA_000068560-RA Jaiswal:PITA_000035131-RA
Q9FUE1	Jaiswal:PITA_000017778-RA
Q9FWC1	Jaiswal:PITA_000016016-RA Jaiswal:PITA_000016015-RA
Q9FWK4	Jaiswal:PITA_000040949-RA
Q9FWQ2	Jaiswal:PITA_000043276-RA Jaiswal:PITA_000036477-RA
Q9FXQ3	Jaiswal:PITA_000001952-RA Jaiswal:PITA_000010121-RA
Q9LD61	Jaiswal:PITA_000065339-RA
Q9LG86	Jaiswal:PITA_000043034-RA Jaiswal:PITA_000020741-RA Jaiswal:PITA_000023688-RA Jaiswal:PITA_000096383-RA Jaiswal:PITA_000062751-RA Jaiswal:PITA_000075724-RA
Q9LGL5	Jaiswal:PITA_000015672-RA
Q9LGU6	Jaiswal:PITA_000007990-RA Jaiswal:PITA_000007989-RA Jaiswal:PITA_000000114-RA Jaiswal:PITA_000000113-RA
Q9LHZ0	Jaiswal:PITA_000035917-RA
Q9LIZ8	Jaiswal:PITA_000067098-RA Jaiswal:PITA_000071477-RA
Q9LRI6	Jaiswal:PITA_000024689-RA
Q9LWV3	Jaiswal:PITA_000031640-RA Jaiswal:PITA_000047849-RA Jaiswal:PITA_000031641-RA Jaiswal:PITA_000064466-RA
Q9S7D3	Jaiswal:PITA_000013117-RA Jaiswal:PITA_000075066-RA
Q9SMB1	Jaiswal:PITA_000022967-RA
Q9SNK3	Jaiswal:PITA_000039485-RA
Q9SNN0	Jaiswal:PITA_000050763-RA
Q9XEA6	Jaiswal:PITA_000005554-RA Jaiswal:PITA_000021292-RA
Q9XEA8	Jaiswal:PITA_000005554-RA Jaiswal:PITA_000021292-RA
Q9XFE5	Jaiswal:PITA_000011442-RA Jaiswal:PITA_000011436-RA
Q9XHL5	Jaiswal:PITA_000087873-RA Jaiswal:PITA_000008169-RA Jaiswal:PITA_000085787-RA Jaiswal:PITA_000056583-RA Jaiswal:PITA_000052766-RA Jaiswal:PITA_000008172-RA Jaiswal:PITA_000008168-RA Jaiswal:PITA_000036409-RA Jaiswal:PITA_000000098-RA Jaiswal:PITA_000035931-RA Jaiswal:PITA_000028983-RA Jaiswal:PITA_000008170-RA Jaiswal:PITA_000036410-RA
Q9XJ03	Jaiswal:PITA_000000834-RA Jaiswal:PITA_000073142-RA
Q9XJ29	Jaiswal:PITA_000021992-RA
Q9XJ60	Jaiswal:PITA_000034331-RA Jaiswal:PITA_000024668-RA
Q9ZTP5	Jaiswal:PITA_000016421-RA
