A0A0P0X5U4	Jaiswal:GAKM01128495.1
Q69TV6	Jaiswal:GAKM01116394.1 Jaiswal:GAKM01136765.1 Jaiswal:GAKM01058323.1 Jaiswal:GAKM01087504.1 Jaiswal:GAKM01056870.1 Jaiswal:GAKM01117540.1 Jaiswal:GAKM01049356.1 Jaiswal:GAKM01016477.1 Jaiswal:GAKM01031195.1 Jaiswal:GAKM01132179.1 Jaiswal:GAKM01054207.1 Jaiswal:GAKM01125861.1 Jaiswal:GAKM01083255.1 Jaiswal:GAKM01015251.1 Jaiswal:GAKM01101461.1
Q69TV8	Jaiswal:GAKM01116394.1 Jaiswal:GAKM01136765.1 Jaiswal:GAKM01058323.1 Jaiswal:GAKM01087504.1 Jaiswal:GAKM01056870.1 Jaiswal:GAKM01117540.1 Jaiswal:GAKM01049356.1 Jaiswal:GAKM01016477.1 Jaiswal:GAKM01031195.1 Jaiswal:GAKM01132179.1 Jaiswal:GAKM01054207.1 Jaiswal:GAKM01125861.1 Jaiswal:GAKM01083255.1 Jaiswal:GAKM01015251.1 Jaiswal:GAKM01101461.1
Q69TW5	Jaiswal:GAKM01032971.1 Jaiswal:GAKM01072020.1 Jaiswal:GAKM01130751.1 Jaiswal:GAKM01028900.1 Jaiswal:GAKM01079810.1 Jaiswal:GAKM01081950.1 Jaiswal:GAKM01014681.1 Jaiswal:GAKM01017753.1 Jaiswal:GAKM01040837.1 Jaiswal:GAKM01018230.1
Q69U01	Jaiswal:GAKM01007505.1 Jaiswal:GAKM01067406.1 Jaiswal:GAKM01041874.1 Jaiswal:GAKM01062719.1
Q69U03	Jaiswal:GAKM01007505.1 Jaiswal:GAKM01067406.1 Jaiswal:GAKM01041874.1 Jaiswal:GAKM01062719.1
Q69U04	Jaiswal:GAKM01007505.1 Jaiswal:GAKM01067406.1 Jaiswal:GAKM01041874.1 Jaiswal:GAKM01062719.1
Q69U93	Jaiswal:GAKM01108484.1
Q69UF5	Jaiswal:GAKM01069096.1 Jaiswal:GAKM01072250.1 Jaiswal:GAKM01090591.1 Jaiswal:GAKM01036009.1 Jaiswal:GAKM01051784.1 Jaiswal:GAKM01019734.1 Jaiswal:GAKM01025642.1 Jaiswal:GAKM01074921.1 Jaiswal:GAKM01032487.1 Jaiswal:GAKM01067362.1 Jaiswal:GAKM01134432.1 Jaiswal:GAKM01049886.1 Jaiswal:GAKM01053719.1 Jaiswal:GAKM01084074.1 Jaiswal:GAKM01135726.1
Q69UU3	Jaiswal:GAKM01022000.1 Jaiswal:GAKM01061289.1
Q69V57	Jaiswal:GAKM01035893.1 Jaiswal:GAKM01128906.1 Jaiswal:GAKM01067255.1 Jaiswal:GAKM01124342.1 Jaiswal:GAKM01030644.1
Q69XD3	Jaiswal:GAKM01069096.1 Jaiswal:GAKM01072250.1 Jaiswal:GAKM01090591.1 Jaiswal:GAKM01036009.1 Jaiswal:GAKM01051784.1 Jaiswal:GAKM01019734.1 Jaiswal:GAKM01025642.1 Jaiswal:GAKM01074921.1 Jaiswal:GAKM01032487.1 Jaiswal:GAKM01067362.1 Jaiswal:GAKM01134432.1 Jaiswal:GAKM01049886.1 Jaiswal:GAKM01053719.1 Jaiswal:GAKM01084074.1 Jaiswal:GAKM01135726.1
Q69XJ0	Jaiswal:GAKM01134535.1
Q69XS7	Jaiswal:GAKM01029140.1 Jaiswal:GAKM01050917.1 Jaiswal:GAKM01061332.1 Jaiswal:GAKM01120064.1
Q6ASV4	Jaiswal:GAKM01132186.1
Q6AT26	Jaiswal:GAKM01113620.1
Q6AT32	Jaiswal:GAKM01008237.1 Jaiswal:GAKM01024036.1 Jaiswal:GAKM01020051.1 Jaiswal:GAKM01102471.1
Q6AT33	Jaiswal:GAKM01130449.1 Jaiswal:GAKM01128705.1 Jaiswal:GAKM01047970.1 Jaiswal:GAKM01006833.1 Jaiswal:GAKM01051922.1 Jaiswal:GAKM01068375.1 Jaiswal:GAKM01069419.1 Jaiswal:GAKM01021432.1 Jaiswal:GAKM01091867.1
Q6AT41	Jaiswal:GAKM01116267.1
Q6AT75	Jaiswal:GAKM01092447.1 Jaiswal:GAKM01034582.1 Jaiswal:GAKM01087533.1 Jaiswal:GAKM01091953.1 Jaiswal:GAKM01072878.1 Jaiswal:GAKM01002604.1 Jaiswal:GAKM01120334.1 Jaiswal:GAKM01030532.1 Jaiswal:GAKM01110987.1 Jaiswal:GAKM01020515.1 Jaiswal:GAKM01050233.1 Jaiswal:GAKM01122534.1 Jaiswal:GAKM01136475.1 Jaiswal:GAKM01123486.1 Jaiswal:GAKM01132379.1
Q6ATR2	Jaiswal:GAKM01058528.1 Jaiswal:GAKM01035750.1 Jaiswal:GAKM01044955.1
Q6AUB0	Jaiswal:GAKM01134219.1 Jaiswal:GAKM01074506.1 Jaiswal:GAKM01016131.1 Jaiswal:GAKM01123497.1 Jaiswal:GAKM01059250.1 Jaiswal:GAKM01116265.1
Q6AUJ8	Jaiswal:GAKM01032287.1 Jaiswal:GAKM01004905.1 Jaiswal:GAKM01047662.1
Q6AUV1	Jaiswal:GAKM01058194.1
Q6AV34	Jaiswal:GAKM01015682.1 Jaiswal:GAKM01078600.1 Jaiswal:GAKM01125848.1 Jaiswal:GAKM01028959.1
Q6AVG6	Jaiswal:GAKM01038561.1
Q6AVM5	Jaiswal:GAKM01106269.1 Jaiswal:GAKM01048409.1 Jaiswal:GAKM01032667.1 Jaiswal:GAKM01012613.1
Q6AVT2	Jaiswal:GAKM01029837.1
Q6BDZ9	Jaiswal:GAKM01032034.1 Jaiswal:GAKM01044629.1 Jaiswal:GAKM01020900.1
Q6EN48	Jaiswal:GAKM01085779.1 Jaiswal:GAKM01040939.1 Jaiswal:GAKM01067931.1 Jaiswal:GAKM01079882.1 Jaiswal:GAKM01108646.1
Q6EP31	Jaiswal:GAKM01105616.1 Jaiswal:GAKM01095916.1
Q6EP59	Jaiswal:GAKM01093130.1 Jaiswal:GAKM01031126.1 Jaiswal:GAKM01120117.1 Jaiswal:GAKM01004836.1 Jaiswal:GAKM01092379.1 Jaiswal:GAKM01105223.1 Jaiswal:GAKM01011792.1 Jaiswal:GAKM01006618.1 Jaiswal:GAKM01106491.1 Jaiswal:GAKM01123310.1 Jaiswal:GAKM01027029.1 Jaiswal:GAKM01017804.1 Jaiswal:GAKM01118030.1 Jaiswal:GAKM01084814.1 Jaiswal:GAKM01096954.1 Jaiswal:GAKM01040123.1 Jaiswal:GAKM01132267.1 Jaiswal:GAKM01116779.1 Jaiswal:GAKM01087866.1 Jaiswal:GAKM01132316.1 Jaiswal:GAKM01060230.1 Jaiswal:GAKM01099508.1 Jaiswal:GAKM01067415.1 Jaiswal:GAKM01088595.1 Jaiswal:GAKM01010264.1 Jaiswal:GAKM01027173.1 Jaiswal:GAKM01072471.1 Jaiswal:GAKM01063192.1 Jaiswal:GAKM01066471.1 Jaiswal:GAKM01089616.1 Jaiswal:GAKM01097742.1 Jaiswal:GAKM01074093.1 Jaiswal:GAKM01112909.1 Jaiswal:GAKM01081737.1 Jaiswal:GAKM01043135.1 Jaiswal:GAKM01062240.1 Jaiswal:GAKM01127985.1 Jaiswal:GAKM01112888.1 Jaiswal:GAKM01056897.1 Jaiswal:GAKM01070999.1 Jaiswal:GAKM01033390.1
Q6EP77	Jaiswal:GAKM01130387.1 Jaiswal:GAKM01032880.1 Jaiswal:GAKM01112933.1 Jaiswal:GAKM01074396.1
Q6EPN6	Jaiswal:GAKM01063559.1 Jaiswal:GAKM01106777.1 Jaiswal:GAKM01066212.1
Q6EPY7	Jaiswal:GAKM01124895.1 Jaiswal:GAKM01005514.1
Q6EQW2	Jaiswal:GAKM01046096.1 Jaiswal:GAKM01108799.1
Q6ERL4	Jaiswal:GAKM01022313.1
Q6ERR3	Jaiswal:GAKM01134730.1 Jaiswal:GAKM01037940.1 Jaiswal:GAKM01110061.1 Jaiswal:GAKM01040550.1 Jaiswal:GAKM01041179.1 Jaiswal:GAKM01050472.1
Q6ES51	Jaiswal:GAKM01003920.1 Jaiswal:GAKM01091408.1 Jaiswal:GAKM01046447.1 Jaiswal:GAKM01083882.1 Jaiswal:GAKM01032677.1 Jaiswal:GAKM01100787.1
Q6ESJ0	Jaiswal:GAKM01076649.1 Jaiswal:GAKM01062082.1 Jaiswal:GAKM01098561.1
Q6ESZ9	Jaiswal:GAKM01041001.1 Jaiswal:GAKM01083189.1 Jaiswal:GAKM01015270.1
Q6ET36	Jaiswal:GAKM01130071.1 Jaiswal:GAKM01028894.1 Jaiswal:GAKM01124776.1 Jaiswal:GAKM01093481.1 Jaiswal:GAKM01008900.1 Jaiswal:GAKM01061649.1
Q6ET88	Jaiswal:GAKM01120015.1 Jaiswal:GAKM01124684.1
Q6ETD3	Jaiswal:GAKM01005872.1 Jaiswal:GAKM01089752.1 Jaiswal:GAKM01118696.1 Jaiswal:GAKM01127498.1 Jaiswal:GAKM01053472.1 Jaiswal:GAKM01032479.1 Jaiswal:GAKM01065880.1
Q6ETN3	Jaiswal:GAKM01053743.1
Q6ETX4	Jaiswal:GAKM01053586.1 Jaiswal:GAKM01076562.1
Q6EUF1	Jaiswal:GAKM01105693.1 Jaiswal:GAKM01105836.1 Jaiswal:GAKM01051542.1 Jaiswal:GAKM01031954.1 Jaiswal:GAKM01007554.1 Jaiswal:GAKM01117558.1 Jaiswal:GAKM01046498.1 Jaiswal:GAKM01002210.1 Jaiswal:GAKM01004799.1
Q6EUNO	Jaiswal:GAKM01071430.1 Jaiswal:GAKM01003272.1 Jaiswal:GAKM01120191.1 Jaiswal:GAKM01131773.1 Jaiswal:GAKM01129425.1 Jaiswal:GAKM01061968.1 Jaiswal:GAKM01122320.1 Jaiswal:GAKM01012426.1
Q6EUP4	Jaiswal:GAKM01079573.1 Jaiswal:GAKM01071910.1 Jaiswal:GAKM01132812.1 Jaiswal:GAKM01089688.1 Jaiswal:GAKM01063321.1
Q6EUS6	Jaiswal:GAKM01010053.1 Jaiswal:GAKM01133735.1 Jaiswal:GAKM01055308.1 Jaiswal:GAKM01090787.1
Q6F361	Jaiswal:GAKM01063327.1 Jaiswal:GAKM01114608.1
Q6H4G3	Jaiswal:GAKM01104416.1
Q6H4H9	Jaiswal:GAKM01007505.1 Jaiswal:GAKM01067406.1 Jaiswal:GAKM01041874.1 Jaiswal:GAKM01062719.1
Q6H543	Jaiswal:GAKM01108763.1 Jaiswal:GAKM01108040.1 Jaiswal:GAKM01019252.1 Jaiswal:GAKM01031476.1 Jaiswal:GAKM01006982.1 Jaiswal:GAKM01017847.1 Jaiswal:GAKM01103987.1 Jaiswal:GAKM01069401.1 Jaiswal:GAKM01067594.1 Jaiswal:GAKM01098405.1 Jaiswal:GAKM01022120.1 Jaiswal:GAKM01097416.1
Q6H5C7	Jaiswal:GAKM01095126.1 Jaiswal:GAKM01128332.1
Q6H5U3	Jaiswal:GAKM01100745.1
Q6H5Z4	Jaiswal:GAKM01113992.1 Jaiswal:GAKM01016822.1 Jaiswal:GAKM01023232.1 Jaiswal:GAKM01049516.1
Q6H6C7	Jaiswal:GAKM01010185.1 Jaiswal:GAKM01069877.1 Jaiswal:GAKM01024510.1
Q6H6D2	Jaiswal:GAKM01135553.1
Q6H6G1	Jaiswal:GAKM01027701.1 Jaiswal:GAKM01124878.1 Jaiswal:GAKM01127199.1
Q6H6I1	Jaiswal:GAKM01080680.1
Q6H6P8	Jaiswal:GAKM01065153.1 Jaiswal:GAKM01077339.1 Jaiswal:GAKM01043071.1 Jaiswal:GAKM01108887.1 Jaiswal:GAKM01137246.1
Q6H703	Jaiswal:GAKM01076645.1 Jaiswal:GAKM01064592.1
Q6H7M1	Jaiswal:GAKM01042769.1 Jaiswal:GAKM01022568.1
Q6H7Q6	Jaiswal:GAKM01117634.1 Jaiswal:GAKM01010241.1
Q6H819	Jaiswal:GAKM01095639.1 Jaiswal:GAKM01052996.1 Jaiswal:GAKM01047522.1 Jaiswal:GAKM01126800.1 Jaiswal:GAKM01044487.1
Q6H849	Jaiswal:GAKM01048509.1 Jaiswal:GAKM01136807.1 Jaiswal:GAKM01034256.1 Jaiswal:GAKM01124849.1 Jaiswal:GAKM01128623.1
Q6H851	Jaiswal:GAKM01048509.1 Jaiswal:GAKM01136807.1 Jaiswal:GAKM01034256.1 Jaiswal:GAKM01124849.1 Jaiswal:GAKM01128623.1
Q6I581	Jaiswal:GAKM01076070.1 Jaiswal:GAKM01081162.1 Jaiswal:GAKM01049683.1 Jaiswal:GAKM01089220.1
Q6I5C3	Jaiswal:GAKM01049380.1 Jaiswal:GAKM01133512.1 Jaiswal:GAKM01060900.1
Q6I628	Jaiswal:GAKM01082642.1 Jaiswal:GAKM01008855.1 Jaiswal:GAKM01064878.1
Q6IVC3	Jaiswal:GAKM01124475.1 Jaiswal:GAKM01075897.1
Q6J1A5	Jaiswal:GAKM01130387.1 Jaiswal:GAKM01032880.1 Jaiswal:GAKM01112933.1 Jaiswal:GAKM01074396.1
Q6K1S6	Jaiswal:GAKM01116850.1 Jaiswal:GAKM01116261.1 Jaiswal:GAKM01017600.1 Jaiswal:GAKM01081171.1 Jaiswal:GAKM01045136.1 Jaiswal:GAKM01090610.1 Jaiswal:GAKM01090575.1 Jaiswal:GAKM01017622.1 Jaiswal:GAKM01124187.1 Jaiswal:GAKM01045704.1 Jaiswal:GAKM01008820.1 Jaiswal:GAKM01088685.1 Jaiswal:GAKM01066642.1 Jaiswal:GAKM01020723.1 Jaiswal:GAKM01001009.1 Jaiswal:GAKM01116696.1 Jaiswal:GAKM01091397.1 Jaiswal:GAKM01075519.1 Jaiswal:GAKM01017375.1
Q6K1X7	Jaiswal:GAKM01027902.1 Jaiswal:GAKM01113547.1 Jaiswal:GAKM01120921.1 Jaiswal:GAKM01082580.1 Jaiswal:GAKM01027243.1
Q6K2E8	Jaiswal:GAKM01135275.1
Q6K306	Jaiswal:GAKM01100200.1 Jaiswal:GAKM01052534.1 Jaiswal:GAKM01121802.1 Jaiswal:GAKM01090549.1
Q6K3T2	Jaiswal:GAKM01097302.1 Jaiswal:GAKM01090326.1
Q6K3Z3	Jaiswal:GAKM01057927.1 Jaiswal:GAKM01041444.1 Jaiswal:GAKM01062409.1
Q6K548	Jaiswal:GAKM01134082.1
Q6K5G8	Jaiswal:GAKM01026227.1 Jaiswal:GAKM01053426.1 Jaiswal:GAKM01047486.1
Q6K5U4	Jaiswal:GAKM01099535.1 Jaiswal:GAKM01017254.1 Jaiswal:GAKM01086410.1 Jaiswal:GAKM01044416.1 Jaiswal:GAKM01044846.1 Jaiswal:GAKM01065078.1 Jaiswal:GAKM01088610.1 Jaiswal:GAKM01088151.1
Q6K678	Jaiswal:GAKM01063217.1 Jaiswal:GAKM01124036.1
Q6K6Q0	Jaiswal:GAKM01109496.1 Jaiswal:GAKM01082412.1 Jaiswal:GAKM01095513.1 Jaiswal:GAKM01047983.1 Jaiswal:GAKM01089053.1 Jaiswal:GAKM01064753.1 Jaiswal:GAKM01021929.1 Jaiswal:GAKM01070374.1 Jaiswal:GAKM01119533.1 Jaiswal:GAKM01133378.1 Jaiswal:GAKM01115529.1 Jaiswal:GAKM01050827.1 Jaiswal:GAKM01088722.1
Q6K6Q1	Jaiswal:GAKM01109496.1 Jaiswal:GAKM01082412.1 Jaiswal:GAKM01095513.1 Jaiswal:GAKM01047983.1 Jaiswal:GAKM01089053.1 Jaiswal:GAKM01064753.1 Jaiswal:GAKM01021929.1 Jaiswal:GAKM01070374.1 Jaiswal:GAKM01119533.1 Jaiswal:GAKM01133378.1 Jaiswal:GAKM01115529.1 Jaiswal:GAKM01050827.1 Jaiswal:GAKM01088722.1
Q6K755	Jaiswal:GAKM01093130.1 Jaiswal:GAKM01031126.1 Jaiswal:GAKM01120117.1 Jaiswal:GAKM01004836.1 Jaiswal:GAKM01092379.1 Jaiswal:GAKM01105223.1 Jaiswal:GAKM01011792.1 Jaiswal:GAKM01006618.1 Jaiswal:GAKM01106491.1 Jaiswal:GAKM01123310.1 Jaiswal:GAKM01027029.1 Jaiswal:GAKM01017804.1 Jaiswal:GAKM01118030.1 Jaiswal:GAKM01084814.1 Jaiswal:GAKM01096954.1 Jaiswal:GAKM01040123.1 Jaiswal:GAKM01132267.1 Jaiswal:GAKM01116779.1 Jaiswal:GAKM01087866.1 Jaiswal:GAKM01132316.1 Jaiswal:GAKM01060230.1 Jaiswal:GAKM01099508.1 Jaiswal:GAKM01067415.1 Jaiswal:GAKM01088595.1 Jaiswal:GAKM01010264.1 Jaiswal:GAKM01027173.1 Jaiswal:GAKM01072471.1 Jaiswal:GAKM01063192.1 Jaiswal:GAKM01066471.1 Jaiswal:GAKM01089616.1 Jaiswal:GAKM01097742.1 Jaiswal:GAKM01074093.1 Jaiswal:GAKM01112909.1 Jaiswal:GAKM01081737.1 Jaiswal:GAKM01043135.1 Jaiswal:GAKM01062240.1 Jaiswal:GAKM01127985.1 Jaiswal:GAKM01112888.1 Jaiswal:GAKM01056897.1 Jaiswal:GAKM01070999.1 Jaiswal:GAKM01033390.1
Q6K7V6	Jaiswal:GAKM01050722.1 Jaiswal:GAKM01036647.1
Q6K846	Jaiswal:GAKM01108321.1 Jaiswal:GAKM01115937.1
Q6K8E2	Jaiswal:GAKM01058661.1 Jaiswal:GAKM01077617.1 Jaiswal:GAKM01083115.1 Jaiswal:GAKM01070380.1 Jaiswal:GAKM01125722.1
Q6K8E7	Jaiswal:GAKM01078090.1 Jaiswal:GAKM01009179.1
Q6K8J4	Jaiswal:GAKM01136417.1
Q6K8R6	Jaiswal:GAKM01113551.1 Jaiswal:GAKM01039237.1 Jaiswal:GAKM01093290.1
Q6K969	Jaiswal:GAKM01133306.1
Q6K973	Jaiswal:GAKM01093868.1 Jaiswal:GAKM01057824.1
Q6K9B8	Jaiswal:GAKM01123865.1 Jaiswal:GAKM01010029.1 Jaiswal:GAKM01137055.1 Jaiswal:GAKM01063955.1 Jaiswal:GAKM01043415.1 Jaiswal:GAKM01017712.1 Jaiswal:GAKM01126039.1
Q6K9M5	Jaiswal:GAKM01120858.1 Jaiswal:GAKM01051997.1 Jaiswal:GAKM01068426.1 Jaiswal:GAKM01062288.1 Jaiswal:GAKM01135822.1
Q6K9N6	Jaiswal:GAKM01009479.1
Q6K9X3	Jaiswal:GAKM01086892.1
Q6KAJ2	Jaiswal:GAKM01092463.1
Q6L479	Jaiswal:GAKM01111607.1 Jaiswal:GAKM01014698.1
Q6L4G2	Jaiswal:GAKM01054489.1 Jaiswal:GAKM01083021.1 Jaiswal:GAKM01096695.1 Jaiswal:GAKM01134470.1 Jaiswal:GAKM01016442.1 Jaiswal:GAKM01067877.1
Q6L4H5	Jaiswal:GAKM01053011.1
Q6L4L4	Jaiswal:GAKM01046645.1 Jaiswal:GAKM01052140.1 Jaiswal:GAKM01108963.1 Jaiswal:GAKM01059257.1 Jaiswal:GAKM01114612.1 Jaiswal:GAKM01011252.1
Q6L4R0	Jaiswal:GAKM01088860.1
Q6L4R7	Jaiswal:GAKM01125050.1 Jaiswal:GAKM01106887.1 Jaiswal:GAKM01079510.1 Jaiswal:GAKM01033916.1 Jaiswal:GAKM01113463.1
Q6L545	Jaiswal:GAKM01053153.1
Q6L5F6	Jaiswal:GAKM01008750.1
Q6L5H6	Jaiswal:GAKM01125050.1 Jaiswal:GAKM01106887.1 Jaiswal:GAKM01079510.1 Jaiswal:GAKM01033916.1 Jaiswal:GAKM01113463.1
Q6L8G1	Jaiswal:GAKM01137125.1 Jaiswal:GAKM01028620.1
Q6Q9I2	Jaiswal:GAKM01058952.1 Jaiswal:GAKM01088075.1 Jaiswal:GAKM01019359.1 Jaiswal:GAKM01132169.1 Jaiswal:GAKM01102780.1 Jaiswal:GAKM01022073.1 Jaiswal:GAKM01130354.1 Jaiswal:GAKM01067154.1 Jaiswal:GAKM01009294.1 Jaiswal:GAKM01038277.1 Jaiswal:GAKM01079148.1 Jaiswal:GAKM01033168.1 Jaiswal:GAKM01085570.1 Jaiswal:GAKM01104074.1 Jaiswal:GAKM01116469.1 Jaiswal:GAKM01100635.1 Jaiswal:GAKM01132069.1 Jaiswal:GAKM01028167.1
Q6VMN7	Jaiswal:GAKM01116812.1 Jaiswal:GAKM01081733.1 Jaiswal:GAKM01105684.1 Jaiswal:GAKM01038251.1 Jaiswal:GAKM01135314.1 Jaiswal:GAKM01020538.1
Q6YPG5	Jaiswal:GAKM01017170.1 Jaiswal:GAKM01126890.1
Q6YS33	Jaiswal:GAKM01072444.1 Jaiswal:GAKM01056478.1 Jaiswal:GAKM01050911.1
Q6YSA1	Jaiswal:GAKM01024546.1 Jaiswal:GAKM01015106.1
Q6YT73	Jaiswal:GAKM01110273.1 Jaiswal:GAKM01044071.1 Jaiswal:GAKM01009755.1
Q6YTI6	Jaiswal:GAKM01016950.1 Jaiswal:GAKM01076291.1
Q6YTT3	Jaiswal:GAKM01094193.1
Q6YU51	Jaiswal:GAKM01032791.1
Q6YUI8	Jaiswal:GAKM01116394.1 Jaiswal:GAKM01136765.1 Jaiswal:GAKM01058323.1 Jaiswal:GAKM01087504.1 Jaiswal:GAKM01056870.1 Jaiswal:GAKM01117540.1 Jaiswal:GAKM01049356.1 Jaiswal:GAKM01016477.1 Jaiswal:GAKM01031195.1 Jaiswal:GAKM01132179.1 Jaiswal:GAKM01054207.1 Jaiswal:GAKM01125861.1 Jaiswal:GAKM01083255.1 Jaiswal:GAKM01015251.1 Jaiswal:GAKM01101461.1
Q6YUS0	Jaiswal:GAKM01127534.1 Jaiswal:GAKM01044379.1
Q6YUS3	Jaiswal:GAKM01008103.1
Q6YV04	Jaiswal:GAKM01009854.1 Jaiswal:GAKM01062093.1 Jaiswal:GAKM01093921.1 Jaiswal:GAKM01108130.1
Q6YV23	Jaiswal:GAKM01001216.1 Jaiswal:GAKM01094339.1
Q6YVI0	Jaiswal:GAKM01115593.1
Q6YVY6	Jaiswal:GAKM01071082.1 Jaiswal:GAKM01010411.1 Jaiswal:GAKM01043406.1 Jaiswal:GAKM01088028.1 Jaiswal:GAKM01038057.1 Jaiswal:GAKM01035126.1 Jaiswal:GAKM01051460.1 Jaiswal:GAKM01137127.1 Jaiswal:GAKM01046337.1
Q6YWE1	Jaiswal:GAKM01058528.1 Jaiswal:GAKM01035750.1 Jaiswal:GAKM01044955.1
Q6YWS8	Jaiswal:GAKM01071430.1 Jaiswal:GAKM01003272.1 Jaiswal:GAKM01120191.1 Jaiswal:GAKM01131773.1 Jaiswal:GAKM01129425.1 Jaiswal:GAKM01061968.1 Jaiswal:GAKM01122320.1 Jaiswal:GAKM01012426.1
Q6YWY7	Jaiswal:GAKM01064843.1 Jaiswal:GAKM01117355.1 Jaiswal:GAKM01117695.1 Jaiswal:GAKM01053746.1 Jaiswal:GAKM01101304.1
Q6YXI1	Jaiswal:GAKM01028348.1
Q6YXW6	Jaiswal:GAKM01015826.1 Jaiswal:GAKM01103140.1 Jaiswal:GAKM01136995.1 Jaiswal:GAKM01059611.1
Q6YYB9	Jaiswal:GAKM01019304.1
Q6YYZ2	Jaiswal:GAKM01040230.1
Q6YZ18	Jaiswal:GAKM01050619.1 Jaiswal:GAKM01035491.1 Jaiswal:GAKM01010154.1 Jaiswal:GAKM01037756.1 Jaiswal:GAKM01008013.1 Jaiswal:GAKM01104927.1 Jaiswal:GAKM01067757.1 Jaiswal:GAKM01133738.1 Jaiswal:GAKM01024705.1 Jaiswal:GAKM01068019.1 Jaiswal:GAKM01049150.1 Jaiswal:GAKM01135826.1 Jaiswal:GAKM01082884.1
Q6YZ76	Jaiswal:GAKM01083363.1 Jaiswal:GAKM01011609.1 Jaiswal:GAKM01032958.1 Jaiswal:GAKM01133233.1 Jaiswal:GAKM01127672.1 Jaiswal:GAKM01094478.1
Q6YZE2	Jaiswal:GAKM01114001.1
Q6YZH8	Jaiswal:GAKM01055269.1
Q6YZX6	Jaiswal:GAKM01100659.1 Jaiswal:GAKM01129984.1
Q6Z0T7	Jaiswal:GAKM01015049.1 Jaiswal:GAKM01135840.1
Q6Z156	Jaiswal:GAKM01074476.1 Jaiswal:GAKM01067113.1 Jaiswal:GAKM01021769.1 Jaiswal:GAKM01041544.1 Jaiswal:GAKM01010813.1
Q6Z1Z3	Jaiswal:GAKM01118086.1 Jaiswal:GAKM01012327.1 Jaiswal:GAKM01048147.1 Jaiswal:GAKM01011828.1 Jaiswal:GAKM01035911.1 Jaiswal:GAKM01097415.1 Jaiswal:GAKM01092031.1 Jaiswal:GAKM01131716.1 Jaiswal:GAKM01008550.1 Jaiswal:GAKM01072109.1 Jaiswal:GAKM01134569.1 Jaiswal:GAKM01131725.1 Jaiswal:GAKM01040676.1 Jaiswal:GAKM01092228.1 Jaiswal:GAKM01079536.1
Q6Z2L5	Jaiswal:GAKM01024781.1 Jaiswal:GAKM01060444.1
Q6Z2T6	Jaiswal:GAKM01077017.1 Jaiswal:GAKM01027165.1
Q6Z2T9	Jaiswal:GAKM01016173.1 Jaiswal:GAKM01099660.1 Jaiswal:GAKM01009264.1 Jaiswal:GAKM01102269.1 Jaiswal:GAKM01119155.1 Jaiswal:GAKM01013973.1 Jaiswal:GAKM01021517.1 Jaiswal:GAKM01015986.1 Jaiswal:GAKM01056142.1 Jaiswal:GAKM01022135.1 Jaiswal:GAKM01112199.1 Jaiswal:GAKM01006867.1 Jaiswal:GAKM01027981.1 Jaiswal:GAKM01045992.1 Jaiswal:GAKM01086655.1 Jaiswal:GAKM01128482.1
Q6Z312	Jaiswal:GAKM01032971.1 Jaiswal:GAKM01072020.1 Jaiswal:GAKM01130751.1 Jaiswal:GAKM01028900.1 Jaiswal:GAKM01079810.1 Jaiswal:GAKM01081950.1 Jaiswal:GAKM01014681.1 Jaiswal:GAKM01017753.1 Jaiswal:GAKM01040837.1 Jaiswal:GAKM01018230.1
Q6Z351	Jaiswal:GAKM01015510.1 Jaiswal:GAKM01039603.1 Jaiswal:GAKM01014107.1 Jaiswal:GAKM01114757.1 Jaiswal:GAKM01011530.1 Jaiswal:GAKM01113314.1 Jaiswal:GAKM01025621.1 Jaiswal:GAKM01103124.1 Jaiswal:GAKM01029389.1
Q6Z368	Jaiswal:GAKM01052195.1 Jaiswal:GAKM01090732.1
Q6Z398	Jaiswal:GAKM01083949.1 Jaiswal:GAKM01079507.1
Q6Z3A3	Jaiswal:GAKM01064919.1 Jaiswal:GAKM01046449.1
Q6Z3A4	Jaiswal:GAKM01032727.1 Jaiswal:GAKM01045135.1
Q6Z3F9	Jaiswal:GAKM01056617.1 Jaiswal:GAKM01123110.1
Q6Z3X5	Jaiswal:GAKM01107664.1 Jaiswal:GAKM01041343.1
Q6Z3Y3	Jaiswal:GAKM01016405.1 Jaiswal:GAKM01123284.1 Jaiswal:GAKM01063093.1 Jaiswal:GAKM01115115.1 Jaiswal:GAKM01001248.1
Q6Z433	Jaiswal:GAKM01005111.1 Jaiswal:GAKM01043664.1 Jaiswal:GAKM01094846.1 Jaiswal:GAKM01081398.1 Jaiswal:GAKM01134296.1
Q6Z4E7	Jaiswal:GAKM01008665.1 Jaiswal:GAKM01112693.1 Jaiswal:GAKM01066164.1 Jaiswal:GAKM01117772.1 Jaiswal:GAKM01077738.1 Jaiswal:GAKM01070049.1 Jaiswal:GAKM01015033.1 Jaiswal:GAKM01071202.1
Q6Z4I1	Jaiswal:GAKM01102008.1
Q6Z4U1	Jaiswal:GAKM01007505.1 Jaiswal:GAKM01067406.1 Jaiswal:GAKM01041874.1 Jaiswal:GAKM01062719.1
Q6Z5B5	Jaiswal:GAKM01007505.1 Jaiswal:GAKM01067406.1 Jaiswal:GAKM01041874.1 Jaiswal:GAKM01062719.1
Q6Z5M0	Jaiswal:GAKM01072697.1
